#separator:tab
#html:true
#notetype:Basic
#deck:Deutsch::不规则动词
#tags column:3
fahren	<div class="irregular-verb-card"><h3>fahren</h3><table><tr><th>中文</th><td>驾驶，乘车 / 驾驶；行驶 / 行驶；乘车</td></tr><tr><th>现在时</th><td>fährst, fährt</td></tr><tr><th>过去式</th><td>fuhr</td></tr><tr><th>第二分词</th><td>gefahren</td></tr><tr><th>助动词</th><td>sein</td></tr><tr><th>命令式</th><td>fahr(e)</td></tr><tr><th>第二虚拟式</th><td>führe</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
fallen	<div class="irregular-verb-card"><h3>fallen</h3><table><tr><th>中文</th><td>下跌 / 掉落</td></tr><tr><th>现在时</th><td>fällst, fällt</td></tr><tr><th>过去式</th><td>fiel</td></tr><tr><th>第二分词</th><td>gefallen</td></tr><tr><th>助动词</th><td>sein</td></tr><tr><th>命令式</th><td>fall(e)</td></tr><tr><th>第二虚拟式</th><td>fiele</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
fangen	<div class="irregular-verb-card"><h3>fangen</h3><table><tr><th>中文</th><td>捕捉 / 抓住</td></tr><tr><th>现在时</th><td>fängst, fängt</td></tr><tr><th>过去式</th><td>fing</td></tr><tr><th>第二分词</th><td>gefangen</td></tr><tr><th>命令式</th><td>fang(e)</td></tr><tr><th>第二虚拟式</th><td>finge</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
finden	<div class="irregular-verb-card"><h3>finden</h3><table><tr><th>中文</th><td>找到，认为 / 找到</td></tr><tr><th>现在时</th><td>findest, findet</td></tr><tr><th>过去式</th><td>fand</td></tr><tr><th>第二分词</th><td>gefunden</td></tr><tr><th>命令式</th><td>find(e)</td></tr><tr><th>第二虚拟式</th><td>fände</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
fliegen	<div class="irregular-verb-card"><h3>fliegen</h3><table><tr><th>中文</th><td>飞；飞行 / 飞</td></tr><tr><th>现在时</th><td>fliegst, fliegt</td></tr><tr><th>过去式</th><td>flog</td></tr><tr><th>第二分词</th><td>geflogen</td></tr><tr><th>助动词</th><td>sein</td></tr><tr><th>命令式</th><td>flieg(e)</td></tr><tr><th>第二虚拟式</th><td>flöge</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
fließen	<div class="irregular-verb-card"><h3>fließen</h3><table><tr><th>中文</th><td>流动</td></tr><tr><th>现在时</th><td>fließt, fließt</td></tr><tr><th>过去式</th><td>floss</td></tr><tr><th>第二分词</th><td>geflossen</td></tr><tr><th>助动词</th><td>sein</td></tr><tr><th>命令式</th><td>fließ(e)</td></tr><tr><th>第二虚拟式</th><td>flösse</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
fressen	<div class="irregular-verb-card"><h3>fressen</h3><table><tr><th>中文</th><td>（动物）吃；狼吞虎咽 / 吃（动物）</td></tr><tr><th>现在时</th><td>frisst, frisst</td></tr><tr><th>过去式</th><td>fraß</td></tr><tr><th>第二分词</th><td>gefressen</td></tr><tr><th>命令式</th><td>friss</td></tr><tr><th>第二虚拟式</th><td>fräße</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
geben	<div class="irregular-verb-card"><h3>geben</h3><table><tr><th>中文</th><td>给，给予 / 给</td></tr><tr><th>现在时</th><td>gibst, gibt</td></tr><tr><th>过去式</th><td>gab</td></tr><tr><th>第二分词</th><td>gegeben</td></tr><tr><th>命令式</th><td>gib</td></tr><tr><th>第二虚拟式</th><td>gäbe</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
gehen	<div class="irregular-verb-card"><h3>gehen</h3><table><tr><th>中文</th><td>走；去；进行 / 走</td></tr><tr><th>现在时</th><td>gehst, geht</td></tr><tr><th>过去式</th><td>ging</td></tr><tr><th>第二分词</th><td>gegangen</td></tr><tr><th>助动词</th><td>sein</td></tr><tr><th>命令式</th><td>geh(e)</td></tr><tr><th>第二虚拟式</th><td>ginge</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
gelten	<div class="irregular-verb-card"><h3>gelten</h3><table><tr><th>中文</th><td>有效，适用 / 被视为，被认为 / 适用；有效</td></tr><tr><th>现在时</th><td>giltst, gilt</td></tr><tr><th>过去式</th><td>galt</td></tr><tr><th>第二分词</th><td>gegolten</td></tr><tr><th>命令式</th><td>gilt</td></tr><tr><th>第二虚拟式</th><td>gölte / gälte</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
genießen	<div class="irregular-verb-card"><h3>genießen</h3><table><tr><th>中文</th><td>享受 / 欣赏</td></tr><tr><th>现在时</th><td>genießt, genießt</td></tr><tr><th>过去式</th><td>genoss</td></tr><tr><th>第二分词</th><td>genossen</td></tr><tr><th>命令式</th><td>genieß(e)</td></tr><tr><th>第二虚拟式</th><td>genösse</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
geschehen	<div class="irregular-verb-card"><h3>geschehen</h3><table><tr><th>中文</th><td>发生</td></tr><tr><th>现在时</th><td>es geschieht</td></tr><tr><th>过去式</th><td>geschah</td></tr><tr><th>第二分词</th><td>geschehen</td></tr><tr><th>助动词</th><td>sein</td></tr><tr><th>第二虚拟式</th><td>geschähe</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
gewinnen	<div class="irregular-verb-card"><h3>gewinnen</h3><table><tr><th>中文</th><td>赢得，获得；提取 / 赢得</td></tr><tr><th>现在时</th><td>gewinnst, gewinnt</td></tr><tr><th>过去式</th><td>gewann</td></tr><tr><th>第二分词</th><td>gewonnen</td></tr><tr><th>命令式</th><td>gewinn(e)</td></tr><tr><th>第二虚拟式</th><td>gewönne / gewänne</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
gleichen	<div class="irregular-verb-card"><h3>gleichen</h3><table><tr><th>中文</th><td>相似</td></tr><tr><th>现在时</th><td>gleichst, gleicht</td></tr><tr><th>过去式</th><td>glich</td></tr><tr><th>第二分词</th><td>geglichen</td></tr><tr><th>命令式</th><td>gleich(e)</td></tr><tr><th>第二虚拟式</th><td>gliche</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
haben	<div class="irregular-verb-card"><h3>haben</h3><table><tr><th>中文</th><td>有，拥有 / （助动词）构成完成时 / 有</td></tr><tr><th>现在时</th><td>hast, hat</td></tr><tr><th>过去式</th><td>hatte</td></tr><tr><th>第二分词</th><td>gehabt</td></tr><tr><th>命令式</th><td>hab(e)</td></tr><tr><th>第二虚拟式</th><td>hätte</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
halten	<div class="irregular-verb-card"><h3>halten</h3><table><tr><th>中文</th><td>拿着，握住 / 停止，停住 / 停靠；停住 / 保持；停</td></tr><tr><th>现在时</th><td>hältst, hält</td></tr><tr><th>过去式</th><td>hielt</td></tr><tr><th>第二分词</th><td>gehalten</td></tr><tr><th>命令式</th><td>halt(e)</td></tr><tr><th>第二虚拟式</th><td>hielte</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
hauen	<div class="irregular-verb-card"><h3>hauen</h3><table><tr><th>中文</th><td>打；砍</td></tr><tr><th>现在时</th><td>haust, haut</td></tr><tr><th>过去式</th><td>hieb / haute</td></tr><tr><th>第二分词</th><td>gehauen</td></tr><tr><th>命令式</th><td>hau(e)</td></tr><tr><th>第二虚拟式</th><td>hiebe</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
heben	<div class="irregular-verb-card"><h3>heben</h3><table><tr><th>中文</th><td>举起，抬起 / 提高，提升 / 解除，取消 / 举起</td></tr><tr><th>现在时</th><td>hebst, hebt</td></tr><tr><th>过去式</th><td>hob</td></tr><tr><th>第二分词</th><td>gehoben</td></tr><tr><th>命令式</th><td>heb(e)</td></tr><tr><th>第二虚拟式</th><td>höbe / hübe</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
heißen	<div class="irregular-verb-card"><h3>heißen</h3><table><tr><th>中文</th><td>叫做，称为 / 意味着，意思是 / 叫做</td></tr><tr><th>现在时</th><td>heißt, heißt</td></tr><tr><th>过去式</th><td>hieß</td></tr><tr><th>第二分词</th><td>geheißen</td></tr><tr><th>命令式</th><td>heiß(e)</td></tr><tr><th>第二虚拟式</th><td>hieße</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
helfen	<div class="irregular-verb-card"><h3>helfen</h3><table><tr><th>中文</th><td>帮助</td></tr><tr><th>现在时</th><td>hilfst, hilft</td></tr><tr><th>过去式</th><td>half</td></tr><tr><th>第二分词</th><td>geholfen</td></tr><tr><th>命令式</th><td>hilf</td></tr><tr><th>第二虚拟式</th><td>hülfe / hälfe</td></tr></table></div>	不规则动词 irregular_verbs Deutsch
